analysis_level,config_label,preprocessing,model_name,params_json,validation_design,n_total_sample_groups,n_cv_test_sample_groups,held_out_test_sample_ids,edge_sample_ids_not_tested,edge_labels_not_tested_mg_kg,selection_metric,fit_status,error_message,cv_n,cv_rmse,cv_mae,cv_r2,cv_smape_percent,cv_mape_percent,cv_bias_mg_kg,cv_median_abs_error_mg_kg,cv_max_abs_error_mg_kg,blind_n,blind_rmse,blind_mae,blind_r2,blind_smape_percent,blind_mape_percent,blind_bias_mg_kg,blind_median_abs_error_mg_kg,blind_max_abs_error_mg_kg
sample_mean,sg_selected__Ridge__011,sg_selected,Ridge,"{""model__alpha"": 10.0}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.3454316474478872,0.2766517192290144,0.9815779426175922,2.256768120815331,2.2697804478008488,0.0381362658414178,0.2155856160416362,0.5900198277990611,5.0,0.7087731788181694,0.6615063501887468,0.42217650265089,7.5534094068065025,7.926407267106173,0.6615063501887468,0.5879110765027864,1.136505774939118
sample_mean,sg_selected__Lasso__012,sg_selected,Lasso,"{""model__alpha"": 0.001}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.2431439691525676,0.1966952940092178,0.9908727302294502,1.5427889199890454,1.539126357558317,-0.0026237049843748,0.1678626676375962,0.568215567579669,5.0,0.2451586114879741,0.2313969573013263,0.9308686631948904,2.7679214822197635,2.737340419827217,-0.0927738260869357,0.2343263852596369,0.3341035613227099
sample_mean,sg_selected__Lasso__013,sg_selected,Lasso,"{""model__alpha"": 0.01}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.1375002571803299,0.1167515013340961,0.9970810886587336,0.923471543262512,0.9237028623424112,0.0073721139134884,0.097012911201137,0.2824599148496762,5.0,0.2150744672052003,0.2023719891310912,0.946794275602161,2.334600769616003,2.304928183086613,-0.2023719891310912,0.2127101687094938,0.3165257203498424
sample_mean,sg_selected__Lasso__014,sg_selected,Lasso,"{""model__alpha"": 0.1}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.1615072593298848,0.1333699372262004,0.9959728484060784,1.049166081332951,1.0503343275794892,-0.0029899820323788,0.1263307792215862,0.3262099608676934,5.0,0.0257617182457278,0.0201445317631856,0.999236638414557,0.2286516706877115,0.2284041176516651,-0.0102928762711224,0.0165392076701902,0.0503703526830019
sample_mean,sg_selected__ElasticNet__015,sg_selected,ElasticNet,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.5}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.2500434823991152,0.206981661625748,0.9903473855310224,1.6108711415507908,1.61551440265138,0.0163984060767455,0.2123017293195133,0.4385542182295552,5.0,0.2583506219739327,0.2528951838804502,0.923228562613542,2.9553144030644387,2.945135869231763,-0.0264601887755276,0.2658465921856745,0.3123969519163783
sample_mean,sg_selected__ElasticNet__016,sg_selected,ElasticNet,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.5}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.1477887381305047,0.12157531774992,0.9966279301276114,0.9866875797600952,0.9869014634363072,0.0073622635419137,0.0947124136645083,0.2707411341868138,5.0,0.1302417157249372,0.1090252347364709,0.9804889399081662,1.3144039987420253,1.3021046025022436,-0.1090252347364709,0.1364052052494875,0.1881205998971609
sample_mean,sg_selected__SVR_RBF__017,sg_selected,SVR_RBF,"{""model__C"": 1.0, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,1.3491767556935288,1.1061965461344747,0.71897071160543,8.191569620925751,8.134761673814179,-0.2751383722898951,0.7784662197442564,3.0699736151436614,5.0,3.075756077045755,2.980655358268415,-9.881391364266818,29.65338126159114,35.53891822683654,2.980655358268415,2.748376274011729,4.26710310611059
sample_mean,sg_selected__SVR_RBF__018,sg_selected,SVR_RBF,"{""model__C"": 1.0, ""model__epsilon"": 0.5, ""model__gamma"": ""scale""}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,1.3165030370536648,1.0692530171735546,0.7324175575008168,7.995419977447334,8.051674144175086,-0.0959364960573243,0.8984073832507988,2.974573199309372,5.0,3.208221351172376,3.111469495832672,-10.83884401983784,30.73660132923072,37.08028959405911,3.111469495832672,2.7861141742572717,4.397785229218699
sample_mean,sg_selected__SVR_RBF__019,sg_selected,SVR_RBF,"{""model__C"": 10.0, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.5480007230385945,0.4351684186778505,0.9536365072143204,3.35525900098303,3.337870068547321,-0.0491943166607178,0.3797462740501327,1.2832650600825914,5.0,1.4842641409401054,1.4440226020409308,-1.5339791642865483,15.575938150412332,17.040006750118664,1.4440226020409308,1.4077095645624222,1.9869302771167563
sample_mean,sg_selected__SVR_RBF__020,sg_selected,SVR_RBF,"{""model__C"": 10.0, ""model__epsilon"": 0.5, ""model__gamma"": ""scale""}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.7610461652120817,0.6145278595028861,0.9105797485139014,4.628060211650008,4.61151190952579,-0.091429927673245,0.606737600513604,1.845071692876406,5.0,1.983647089168042,1.8740484861334827,-3.525947039232218,19.63344088594285,22.1570759290984,1.8740484861334827,2.1717806100145154,2.683243722551972
