protocol,target_batch,model_name,tuning_policy,train_batches,n_train_full,n_val_inner,n_test,selected_C,selected_gamma,best_val_macro_f1_fixed6,macro_f1_fixed6,macro_f1_present,accuracy,balanced_accuracy
B_rolling_update,8,power_yeojohnson_svm,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.00390625,0.8333158659735337,0.9464462367916994,0.9464462367916994,0.9489795918367347,0.9352531727531729
B_rolling_update,8,quantile_normal_svm,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.001,0.8316834259553533,0.9422945307476419,0.9422945307476419,0.9489795918367347,0.931549469049469
B_rolling_update,8,ratio_median_svm,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.001,0.9032629274353753,0.8474887558252148,0.8474887558252148,0.8605442176870748,0.8762529137529137
B_rolling_update,8,robust_svm_rbf,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.001,0.8303888444813313,0.7368402941574237,0.7368402941574237,0.673469387755102,0.7832977207977209
B_rolling_update,8,routear_combined_svm,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.001,0.9168787293473959,0.896992991478652,0.896992991478652,0.9183673469387755,0.9054454804454805
B_rolling_update,8,signed_log_abs_svm,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,50.0,0.00390625,0.843685128147816,0.9336935438955133,0.9336935438955133,0.9387755102040817,0.9375032375032376
B_rolling_update,8,ss_svm_rbf,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.001,0.9032629274353753,0.8474887558252148,0.8474887558252148,0.8605442176870748,0.8762529137529137
B_rolling_update,9,power_yeojohnson_svm,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,10.0,0.01,0.9568495536077452,0.9250422462382399,0.9250422462382399,0.9212765957446809,0.9360243716679361
B_rolling_update,9,quantile_normal_svm,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,1.0,0.01,0.9473646278606408,0.7467548536721469,0.7467548536721469,0.7723404255319148,0.8205128205128206
B_rolling_update,9,ratio_median_svm,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,10.0,0.00390625,0.9062183421799924,0.7434872338040502,0.7434872338040502,0.7617021276595745,0.8072761664564944
