protocol,target_batch,tuning_policy,train_batches,inner_train_batches,inner_val_batches,model_name,C,gamma,val_macro_f1_fixed6
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,1.0,0.0078125,0.6823789550455329
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,1.0,0.01,0.6878626134133005
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,10.0,0.001,0.6339875081301963
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,10.0,0.00390625,0.7260058105802787
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,10.0,0.0078125,0.7235630821848891
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,10.0,0.01,0.7064877348818058
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,50.0,0.001,0.7512868287235609
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,50.0,0.00390625,0.7328629907199016
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,50.0,0.0078125,0.711441870063677
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,50.0,0.01,0.7064877348818058
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,1.0,0.001,0.5153907710192911
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,1.0,0.00390625,0.577316121162909
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,1.0,0.0078125,0.6209486893467097
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,1.0,0.01,0.622273144648392
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,10.0,0.001,0.5165204149090327
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,10.0,0.00390625,0.47601013399125347
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,10.0,0.0078125,0.5358945815379147
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,10.0,0.01,0.5396046758124388
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,50.0,0.001,0.4181818443427195
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,50.0,0.00390625,0.5424484723681018
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,50.0,0.0078125,0.6743877159283964
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ss_svm_rbf,50.0,0.01,0.6837795052735199
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,1.0,0.001,0.6725647367684074
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,1.0,0.00390625,0.7401076069976186
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,1.0,0.0078125,0.757179928181292
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,1.0,0.01,0.7598450659756889
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,10.0,0.001,0.7793248522659488
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,10.0,0.00390625,0.8001690296279499
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,10.0,0.0078125,0.8049575368131805
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,10.0,0.01,0.7931321566284676
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,50.0,0.001,0.7977144611578703
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,50.0,0.00390625,0.8015099863268303
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,50.0,0.0078125,0.8055865235486729
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],power_yeojohnson_svm,50.0,0.01,0.7931321566284676
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,1.0,0.001,0.6174070463547234
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,1.0,0.00390625,0.7192162516296015
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,1.0,0.0078125,0.7423496790924711
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,1.0,0.01,0.7434211243166479
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,10.0,0.001,0.7058980702486394
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,10.0,0.00390625,0.7540411104104748
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,10.0,0.0078125,0.7475619033511931
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,10.0,0.01,0.7575282516235528
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,50.0,0.001,0.7376214402035292
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,50.0,0.00390625,0.7287272922825263
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,50.0,0.0078125,0.7475619033511931
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],quantile_normal_svm,50.0,0.01,0.7585994785034366
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,1.0,0.001,0.6631974465958101
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,1.0,0.00390625,0.7404652837442286
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,1.0,0.0078125,0.7340200950141008
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,1.0,0.01,0.7339847099646617
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,10.0,0.001,0.7173747443699702
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,10.0,0.00390625,0.7714818570904378
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,10.0,0.0078125,0.7835692269243318
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,10.0,0.01,0.7797593550474443
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,50.0,0.001,0.8046244046089047
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,50.0,0.00390625,0.7535626962015217
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,50.0,0.0078125,0.7728804012716844
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],ratio_median_svm,50.0,0.01,0.7727047459635527
B_rolling_update,4,holdout_latest_train_batch_3,"[1, 2, 3]","[1, 2]",[3],robust_svm_rbf,1.0,0.001,0.6658444212041559
