dataset,protocol,target_batch,model_name,split_type,n_train,n_val,n_test,macro_f1,macro_f1_present,accuracy,balanced_accuracy,late_early_bucket,notes
uci270,A_cold_batch_transfer,4,routea_core_svm,exploratory,356,89,161,0.20863752122241086,0.25036502546689304,0.34782608695652173,0.2585513565891473,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,5,routea_core_svm,exploratory,356,89,197,0.14578950723529036,0.17494740868234843,0.17766497461928935,0.2007142857142857,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,6,routea_core_svm,exploratory,356,89,2300,0.2270177989575309,0.2270177989575309,0.42782608695652175,0.3038861616065754,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,7,routea_core_svm,exploratory,356,89,3613,0.30041068153502115,0.30041068153502115,0.377802380293385,0.41366285449955886,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,8,routea_core_svm,exploratory,356,89,294,0.3022900132275132,0.3022900132275132,0.282312925170068,0.42083333333333334,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,9,routea_core_svm,exploratory,356,89,470,0.27401390178295126,0.27401390178295126,0.3872340425531915,0.396969696969697,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,10,routea_core_svm,exploratory,356,89,3600,0.36687094795890407,0.36687094795890407,0.43083333333333335,0.43083333333333335,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,2,logreg,exploratory,356,89,1244,0.6706192992179719,0.6706192992179719,0.8135048231511254,0.7534574643121607,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,3,logreg,exploratory,356,89,1586,0.40164301263951646,0.4819716151674197,0.6380832282471627,0.5213000784096675,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,4,logreg,exploratory,356,89,161,0.26335302977638747,0.3160236357316649,0.5403726708074534,0.36305717054263564,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,5,logreg,exploratory,356,89,197,0.23353113802552006,0.28023736563062407,0.34517766497461927,0.41,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,6,logreg,exploratory,356,89,2300,0.2370786328360934,0.2370786328360934,0.4647826086956522,0.3285328713866248,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,7,logreg,exploratory,356,89,3613,0.2912284349012147,0.2912284349012147,0.4173816772765015,0.4251706389168624,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,8,logreg,exploratory,356,89,294,0.3287455981593497,0.3287455981593497,0.32653061224489793,0.4879208754208754,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,9,logreg,exploratory,356,89,470,0.1702410707086995,0.1702410707086995,0.3425531914893617,0.3333333333333333,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
