protocol,target_batch,model_name,tuning_policy,train_batches,n_train_full,n_val_inner,n_test,selected_C,selected_gamma,best_val_macro_f1_fixed6,macro_f1_fixed6,macro_f1_present,accuracy,balanced_accuracy,macro_f1_ss,delta_vs_ss
B_rolling_update,2,signed_log_abs_svm,row_level_stratified_fallback_single_train_batch,[1],445,89,1244,10.0,0.001,1.0,0.6339875081301963,0.6339875081301963,0.8327974276527331,0.6580618700248504,0.5396046758124388,0.09438283231775757
B_rolling_update,3,signed_log_abs_svm,holdout_latest_train_batch_2,"[1, 2]",1689,1244,1586,50.0,0.001,0.7512868287235609,0.7827465766168963,0.9392958919402755,0.9470365699873896,0.9344663864438815,0.7727047459635527,0.01004183065334363
B_rolling_update,4,signed_log_abs_svm,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,10.0,0.00390625,0.8030357725322578,0.7806523541817659,0.936782825018119,0.9316770186335404,0.9302083333333332,0.7064254970280794,0.07422685715368649
B_rolling_update,5,signed_log_abs_svm,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,10.0,0.00390625,0.7806523541817659,0.8203437377563013,0.9844124853075616,0.9847715736040609,0.9836507936507937,0.7962070074485602,0.024136730307741106
B_rolling_update,6,signed_log_abs_svm,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,50.0,0.001,0.8277474931018238,0.6128904415021057,0.6128904415021057,0.7260869565217392,0.7694012605666716,0.5074446049329545,0.10544583656915119
B_rolling_update,7,signed_log_abs_svm,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,1.0,0.0078125,0.6348879119592331,0.7979212642091958,0.7979212642091958,0.8054248546913922,0.820131481842068,0.8790961507806578,-0.08117488657146199
B_rolling_update,8,signed_log_abs_svm,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,50.0,0.00390625,0.843685128147816,0.9336935438955133,0.9336935438955133,0.9387755102040817,0.9375032375032376,0.8474887558252148,0.08620478807029852
B_rolling_update,9,signed_log_abs_svm,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,10.0,0.01,0.9566693507371474,0.9076434363669778,0.9076434363669778,0.902127659574468,0.9211728865194212,0.7434872338040502,0.1641562025629275
B_rolling_update,10,signed_log_abs_svm,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.0078125,0.9316491461835731,0.7154825167301028,0.7154825167301028,0.7191666666666666,0.7191666666666667,0.7142237482594749,0.0012587684706278912
B_rolling_update,2,ss_svm_rbf,row_level_stratified_fallback_single_train_batch,[1],445,89,1244,10.0,0.01,0.9912219912219912,0.5396046758124388,0.5396046758124388,0.6615755627009646,0.5910797585080757,0.5396046758124388,0.0
B_rolling_update,3,ss_svm_rbf,holdout_latest_train_batch_2,"[1, 2]",1689,1244,1586,50.0,0.01,0.6837795052735199,0.7727047459635527,0.9272456951562631,0.9306431273644389,0.9320851003747286,0.7727047459635527,0.0
B_rolling_update,4,ss_svm_rbf,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.001,0.8046244046089047,0.7064254970280794,0.8477105964336953,0.8633540372670807,0.8927810077519378,0.7064254970280794,0.0
B_rolling_update,5,ss_svm_rbf,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,1.0,0.01,0.7722294166738611,0.7962070074485602,0.9554484089382722,0.9543147208121827,0.9566666666666667,0.7962070074485602,0.0
B_rolling_update,6,ss_svm_rbf,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,1.0,0.001,0.8172134090748403,0.5074446049329545,0.5074446049329545,0.6147826086956522,0.7038495345487584,0.5074446049329545,0.0
B_rolling_update,7,ss_svm_rbf,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,50.0,0.00390625,0.6423562298002489,0.8790961507806578,0.8790961507806578,0.880708552449488,0.8911649878661749,0.8790961507806578,0.0
B_rolling_update,8,ss_svm_rbf,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.001,0.9032629274353753,0.8474887558252148,0.8474887558252148,0.8605442176870748,0.8762529137529137,0.8474887558252148,0.0
B_rolling_update,9,ss_svm_rbf,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,10.0,0.00390625,0.9062183421799924,0.7434872338040502,0.7434872338040502,0.7617021276595745,0.8072761664564944,0.7434872338040502,0.0
B_rolling_update,10,ss_svm_rbf,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.01,0.7547349965125466,0.7142237482594749,0.7142237482594749,0.7191666666666666,0.7191666666666667,0.7142237482594749,0.0
