config_label,boundary_id,low_upper_mg_L,mid_upper_mg_L,model_name,params_json,fit_status,error_message,validation_design,cv_accuracy,cv_balanced_accuracy,cv_macro_f1,cv_low_precision,cv_low_recall,cv_low_f1,cv_low_support,cv_mid_precision,cv_mid_recall,cv_mid_f1,cv_mid_support,cv_high_precision,cv_high_recall,cv_high_f1,cv_high_support,cv_n_errors
low_le_0.5__mid_le_7__LogisticRegression__002,low_le_0.5__mid_le_7,0.5,7.0,LogisticRegression,"{""model__C"": 0.1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6153846153846154,0.5777777777777778,0.5892255892255892,0.3333333333333333,0.3333333333333333,0.3333333333333333,30.0,0.5,0.6,0.5454545454545454,50.0,1.0,0.8,0.8888888888888888,50.0,50
low_le_0.5__mid_le_7__LogisticRegression__003,low_le_0.5__mid_le_7,0.5,7.0,LogisticRegression,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7384615384615385,0.7555555555555555,0.7371324291817013,0.5652173913043478,0.8666666666666667,0.6842105263157895,30.0,0.6818181818181818,0.6,0.6382978723404256,50.0,1.0,0.8,0.8888888888888888,50.0,34
low_le_0.5__mid_le_7__SVC_RBF__004,low_le_0.5__mid_le_7,0.5,7.0,SVC_RBF,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6153846153846154,0.5333333333333333,0.5014245014245015,0.0,0.0,0.0,30.0,0.5,0.8,0.6153846153846154,50.0,1.0,0.8,0.8888888888888888,50.0,50
low_le_0.5__mid_le_7__SVC_RBF__005,low_le_0.5__mid_le_7,0.5,7.0,SVC_RBF,"{""model__C"": 10.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5384615384615384,0.5111111111111111,0.5248677248677248,0.25,0.3333333333333333,0.2857142857142857,30.0,0.4,0.4,0.4,50.0,1.0,0.8,0.8888888888888888,50.0,60
low_le_0.5__mid_le_7__KNeighborsClassifier__006,low_le_0.5__mid_le_7,0.5,7.0,KNeighborsClassifier,"{""model__n_neighbors"": 1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6230769230769231,0.6333333333333333,0.6189485365515327,0.4117647058823529,0.7,0.5185185185185185,30.0,0.5128205128205128,0.4,0.449438202247191,50.0,1.0,0.8,0.8888888888888888,50.0,49
low_le_0.5__mid_le_7__KNeighborsClassifier__007,low_le_0.5__mid_le_7,0.5,7.0,KNeighborsClassifier,"{""model__n_neighbors"": 3}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6076923076923076,0.6111111111111112,0.6031539955590589,0.3877551020408163,0.6333333333333333,0.4810126582278481,30.0,0.4878048780487805,0.4,0.4395604395604395,50.0,1.0,0.8,0.8888888888888888,50.0,51
low_le_0.5__mid_le_7__RandomForestClassifier__008,low_le_0.5__mid_le_7,0.5,7.0,RandomForestClassifier,"{""model__min_samples_leaf"": 1, ""model__n_estimators"": 160}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7615384615384615,0.7888888888888889,0.7608022544731406,0.5918367346938775,0.9666666666666668,0.7341772151898734,30.0,0.7317073170731707,0.6,0.6593406593406593,50.0,1.0,0.8,0.8888888888888888,50.0,31
low_le_0.5__mid_le_7__GradientBoostingClassifier__009,low_le_0.5__mid_le_7,0.5,7.0,GradientBoostingClassifier,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 100}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6538461538461539,0.6777777777777777,0.6457516339869281,0.5555555555555556,0.8333333333333334,0.6666666666666666,30.0,0.5714285714285714,0.4,0.4705882352941176,50.0,0.8,0.8,0.8,50.0,45
low_le_0.5__mid_le_10__PLSDA__000,low_le_0.5__mid_le_10,0.5,10.0,PLSDA,"{""model__n_components"": 2}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6153846153846154,0.5277777777777778,0.5079365079365079,0.0,0.0,0.0,30.0,0.5555555555555556,0.8333333333333334,0.6666666666666666,60.0,1.0,0.75,0.8571428571428571,40.0,50
low_le_0.5__mid_le_10__PLSDA__001,low_le_0.5__mid_le_10,0.5,10.0,PLSDA,"{""model__n_components"": 5}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6846153846153846,0.686111111111111,0.6910551021222958,0.5,0.6666666666666666,0.5714285714285714,30.0,0.6557377049180327,0.6666666666666666,0.6611570247933884,60.0,1.0,0.725,0.8405797101449275,40.0,41
