score_type,threshold_source,gate_mode,quantile,delta_clip_quantile,g_co,g_eth,pass_rate_all_gates,mean_transition_improve_pct,mean_full_mae_delta,fallback_rate
endpoint_jump,train,binary,0.65,0.90,1.25,0.50,0.200000,0.553570,-0.042248,0.600000
endpoint_jump,train,binary,0.60,0.90,1.25,0.50,0.200000,0.548496,-0.045279,0.600000
endpoint_jump,train,binary,0.70,0.90,1.25,0.50,0.200000,0.514050,-0.032089,0.600000
endpoint_jump,cal,ramp,0.60,1.00,1.25,0.50,0.200000,0.503629,-0.056774,0.300000
endpoint_jump,train,ramp,0.70,1.00,1.25,0.50,0.200000,0.493198,-0.028614,0.500000
endpoint_jump,cal,binary,0.65,0.90,1.25,0.50,0.200000,0.485958,-0.039722,0.700000
endpoint_jump,train,ramp,0.60,1.00,1.25,0.50,0.200000,0.434018,-0.037642,0.400000
endpoint_jump,train,ramp,0.65,1.00,1.25,0.50,0.200000,0.433178,-0.030915,0.500000
endpoint_jump,cal,ramp,0.85,0.90,1.25,0.50,0.200000,0.428350,-0.009449,0.500000
endpoint_jump,cal,binary,0.60,0.90,1.25,0.50,0.200000,0.426023,-0.041279,0.700000
diff_mean_abs,train,ramp,0.65,0.90,1.25,0.50,0.100000,0.917104,-0.097298,0.200000
diff_mean_abs,train,ramp,0.60,0.90,1.25,0.50,0.100000,0.912596,-0.110337,0.200000
diff_mean_abs,train,ramp,0.80,0.90,1.25,0.50,0.100000,0.870928,-0.040282,0.300000
diff_mean_abs,train,ramp_sq,0.75,1.00,1.25,0.50,0.100000,0.849501,-0.046952,0.300000
hybrid,train,ramp,0.65,1.00,1.25,0.50,0.100000,0.831423,-0.061879,0.400000
diff_mean_abs,train,ramp_sq,0.70,1.00,1.25,0.50,0.100000,0.799845,-0.053742,0.300000
diff_mean_abs,train,ramp,0.75,0.90,1.25,0.50,0.100000,0.794637,-0.049876,0.300000
diff_mean_abs,train,ramp,0.70,0.90,1.25,0.50,0.100000,0.781784,-0.059699,0.300000
diff_mean_abs,train,ramp_sq,0.65,1.00,1.25,0.50,0.100000,0.773528,-0.061253,0.300000
diff_mean_abs,train,ramp_sq,0.60,1.00,1.25,0.50,0.100000,0.751294,-0.069576,0.300000
hybrid,train,ramp,0.60,1.00,1.25,0.50,0.100000,0.748076,-0.065907,0.400000
diff_mean_abs,cal,ramp_sq,0.75,0.90,1.25,0.50,0.100000,0.711924,-0.051163,0.200000
hybrid,cal,ramp_sq,0.70,1.00,1.25,0.50,0.100000,0.710627,-0.035929,0.400000
diff_mean_abs,cal,ramp_sq,0.70,0.90,1.25,0.50,0.100000,0.675734,-0.057352,0.200000
hybrid,cal,ramp,0.85,0.90,1.25,0.50,0.100000,0.670111,-0.017295,0.400000
hybrid,train,ramp_sq,0.65,1.00,1.25,0.50,0.100000,0.658232,-0.045181,0.400000
diff_mean_abs,cal,ramp_sq,0.65,0.90,1.25,0.50,0.100000,0.651079,-0.064104,0.200000
diff_mean_abs,cal,ramp_sq,0.60,0.90,1.25,0.50,0.100000,0.639049,-0.071110,0.200000
diff_mean_abs,train,ramp_sq,0.80,0.90,1.25,0.50,0.100000,0.608833,-0.021286,0.200000
hybrid,cal,ramp_sq,0.65,1.00,1.25,0.50,0.100000,0.592047,-0.036976,0.400000
hybrid,cal,ramp,0.80,0.90,1.25,0.50,0.100000,0.584049,-0.018697,0.400000
hybrid,train,ramp_sq,0.60,1.00,1.25,0.50,0.100000,0.570416,-0.046408,0.400000
endpoint_jump,cal,ramp_sq,0.60,1.00,1.25,0.50,0.100000,0.532699,-0.049069,0.400000
endpoint_jump,train,ramp_sq,0.80,1.00,1.25,0.50,0.100000,0.530268,-0.015977,0.400000
diff_mean_abs,train,ramp_sq,0.75,0.90,1.25,0.50,0.100000,0.529083,-0.025016,0.200000
hybrid,train,ramp_sq,0.80,0.90,1.25,0.50,0.100000,0.528331,-0.017836,0.400000
hybrid,train,ramp,0.75,0.90,1.25,0.50,0.100000,0.527461,-0.024451,0.400000
hybrid,cal,ramp,0.75,0.90,1.25,0.50,0.100000,0.518140,-0.019992,0.400000
hybrid,cal,binary,0.70,0.90,1.25,0.50,0.100000,0.516839,-0.037164,0.700000
hybrid,cal,ramp_sq,0.60,1.00,1.25,0.50,0.100000,0.505054,-0.038227,0.400000
diff_mean_abs,train,ramp_sq,0.70,0.90,1.25,0.50,0.100000,0.499614,-0.028931,0.200000
diff_mean_abs,train,ramp_sq,0.65,0.90,1.25,0.50,0.100000,0.484077,-0.033391,0.200000
hybrid,cal,ramp,0.70,0.90,1.25,0.50,0.100000,0.461912,-0.021501,0.400000
endpoint_jump,train,ramp,0.85,0.90,1.25,0.50,0.100000,0.443506,-0.008482,0.500000
hybrid,train,ramp_sq,0.75,0.90,1.25,0.50,0.100000,0.442554,-0.018477,0.400000
endpoint_jump,cal,ramp,0.80,0.90,1.25,0.50,0.100000,0.354681,-0.011017,0.500000
endpoint_jump,train,ramp,0.80,0.90,1.25,0.50,0.100000,0.344040,-0.009921,0.500000
endpoint_jump,cal,ramp,0.75,0.90,1.25,0.50,0.100000,0.187894,-0.010625,0.400000
diff_mean_abs,train,ramp_sq,0.60,0.90,1.25,0.50,0.000000,0.467940,-0.038226,0.200000
hybrid,train,ramp,0.70,0.90,1.25,0.50,0.000000,0.459025,-0.026261,0.400000
endpoint_jump,train,ramp_sq,0.75,1.00,1.25,0.50,0.000000,0.429619,-0.017474,0.400000
hybrid,train,ramp,0.65,0.90,1.25,0.50,0.000000,0.418147,-0.028164,0.400000
hybrid,cal,ramp,0.65,0.90,1.25,0.50,0.000000,0.396252,-0.023319,0.400000
hybrid,train,ramp,0.60,0.90,1.25,0.50,0.000000,0.375208,-0.030244,0.400000
hybrid,train,ramp_sq,0.70,0.90,1.25,0.50,0.000000,0.368922,-0.019070,0.400000
endpoint_jump,train,ramp_sq,0.70,1.00,1.25,0.50,0.000000,0.357096,-0.018967,0.400000
hybrid,cal,ramp,0.60,0.90,1.25,0.50,0.000000,0.355659,-0.025668,0.400000
hybrid,cal,ramp_sq,0.65,0.90,1.25,0.50,0.000000,0.324199,-0.016983,0.400000
hybrid,train,ramp_sq,0.65,0.90,1.25,0.50,0.000000,0.323295,-0.019665,0.400000
endpoint_jump,train,ramp_sq,0.65,1.00,1.25,0.50,0.000000,0.316199,-0.020247,0.400000
endpoint_jump,cal,ramp_sq,0.85,0.90,1.25,0.50,0.000000,0.293366,-0.006884,0.500000
endpoint_jump,train,ramp_sq,0.60,1.00,1.25,0.50,0.000000,0.290449,-0.021122,0.400000
hybrid,train,ramp_sq,0.60,0.90,1.25,0.50,0.000000,0.277040,-0.020317,0.400000
hybrid,cal,ramp_sq,0.60,0.90,1.25,0.50,0.000000,0.274568,-0.017611,0.400000
endpoint_jump,train,ramp,0.75,0.90,1.25,0.50,0.000000,0.248879,-0.010183,0.400000
hybrid,cal,ramp_sq,0.85,0.90,1.25,0.50,0.000000,0.247360,-0.010236,0.500000
endpoint_jump,cal,ramp_sq,0.80,0.90,1.25,0.50,0.000000,0.237264,-0.007313,0.500000
endpoint_jump,train,ramp,0.70,0.90,1.25,0.50,0.000000,0.207164,-0.011407,0.400000
hybrid,cal,ramp_sq,0.80,0.90,1.25,0.50,0.000000,0.199328,-0.010666,0.500000
endpoint_jump,train,ramp_sq,0.85,0.90,1.25,0.50,0.000000,0.192371,-0.001425,0.400000
endpoint_jump,cal,ramp_sq,0.75,0.90,1.25,0.50,0.000000,0.190832,-0.008017,0.500000
endpoint_jump,train,ramp,0.65,0.90,1.25,0.50,0.000000,0.190748,-0.012827,0.400000
endpoint_jump,train,ramp,0.60,0.90,1.25,0.50,0.000000,0.182986,-0.013863,0.400000
endpoint_jump,cal,ramp,0.70,0.90,1.25,0.50,0.000000,0.182154,-0.012371,0.400000
endpoint_jump,cal,ramp_sq,0.70,0.90,1.25,0.50,0.000000,0.174988,-0.008637,0.500000
hybrid,cal,ramp_sq,0.75,0.90,1.25,0.50,0.000000,0.165950,-0.011082,0.500000
endpoint_jump,cal,ramp,0.65,0.90,1.25,0.50,0.000000,0.159056,-0.013893,0.400000
endpoint_jump,train,ramp_sq,0.80,0.90,1.25,0.50,0.000000,0.155067,-0.002198,0.400000
endpoint_jump,cal,ramp_sq,0.65,0.90,1.25,0.50,0.000000,0.150401,-0.009172,0.500000
hybrid,cal,ramp_sq,0.70,0.90,1.25,0.50,0.000000,0.148390,-0.011529,0.500000
endpoint_jump,cal,ramp,0.60,0.90,1.25,0.50,0.000000,0.142457,-0.015087,0.400000
endpoint_jump,cal,ramp_sq,0.60,0.90,1.25,0.50,0.000000,0.130087,-0.009567,0.500000
endpoint_jump,train,ramp_sq,0.75,0.90,1.25,0.50,0.000000,0.124847,-0.002695,0.400000
endpoint_jump,train,ramp_sq,0.70,0.90,1.25,0.50,0.000000,0.104828,-0.003238,0.400000
endpoint_jump,train,ramp_sq,0.65,0.90,1.25,0.50,0.000000,0.095969,-0.003752,0.400000
endpoint_jump,train,ramp_sq,0.60,0.90,1.25,0.50,0.000000,0.090277,-0.004126,0.400000
